# Copyright 2004-2023 H2 Group. Multiple-Licensed under the MPL 2.0,
# and the EPL 1.0 (https://h2database.com/html/license.html).
# Initial Developer: H2 Group

"DOMAINS","PARENT_DOMAIN_NAME","
The name of parent domain for domains with parent domain.
"

"DOMAIN_CONSTRAINTS","IS_DEFERRABLE","
'NO'.
"

"DOMAIN_CONSTRAINTS","INITIALLY_DEFERRED","
'NO'.
"

"ELEMENT_TYPES","COLLECTION_TYPE_IDENTIFIER","
The DTD_IDENTIFIER value of the object.
"

"ENUM_VALUES","ENUM_IDENTIFIER","
The DTD_IDENTIFIER value of the object.
"

"ENUM_VALUES","VALUE_NAME","
The name of enum value.
"

"ENUM_VALUES","VALUE_ORDINAL","
The ordinal of enum value.
"

"FIELDS","ROW_IDENTIFIER","
The DTD_IDENTIFIER value of the object.
"

"FIELDS","FIELD_NAME","
The name of the field of the row value.
"

"INDEXES","INDEX_TYPE_NAME","
The type of the index ('PRIMARY KEY', 'UNIQUE INDEX', 'SPATIAL INDEX', etc.)
"

"INDEXES","NULLS_DISTINCT","
'YES' for unique indexes with distinct null values,
'NO' for unique indexes with not distinct null values,
'ALL' for multi-column unique indexes where only rows with null values in all unique columns are distinct,
NULL for other types of indexes.
"

"INDEXES","IS_GENERATED","
Whether index is generated by a constraint and belongs to it.
"

"INDEXES","INDEX_CLASS","
The Java class name of index implementation.
"

"INDEX_COLUMNS","ORDERING_SPECIFICATION","
'ASC' or 'DESC'.
"

"INDEX_COLUMNS","NULL_ORDERING","
'FIRST', 'LAST', or NULL.
"

"INDEX_COLUMNS","IS_UNIQUE","
Whether this column is a part of unique column list of a unique index (TRUE or FALSE).
"

"INFORMATION_SCHEMA_CATALOG_NAME","CATALOG_NAME","
The catalog (database name).
"

"IN_DOUBT","TRANSACTION_NAME","
The name of prepared transaction.
"

"IN_DOUBT","TRANSACTION_STATE","
The state of prepared transaction ('IN_DOUBT', 'COMMIT', or 'ROLLBACK').
"

"KEY_COLUMN_USAGE","POSITION_IN_UNIQUE_CONSTRAINT","
The ordinal position in the referenced unique constraint (1-based).
"

"LOCKS","LOCK_TYPE","
'READ' or 'WRITE'.
"

"PARAMETERS","PARAMETER_MODE","
'IN'.
"

"PARAMETERS","IS_RESULT","
'NO'.
"

"PARAMETERS","AS_LOCATOR","
'YES' for LOBs, 'NO' for others.
"

"PARAMETERS","PARAMETER_NAME","
The name of the parameter.
"

"PARAMETERS","PARAMETER_DEFAULT","
NULL.
"

"QUERY_STATISTICS","SQL_STATEMENT","
The SQL statement.
"

"QUERY_STATISTICS","EXECUTION_COUNT","
The execution count.
"

"QUERY_STATISTICS","MIN_EXECUTION_TIME","
The minimum execution time in milliseconds.
"

"QUERY_STATISTICS","MAX_EXECUTION_TIME","
The maximum execution time in milliseconds.
"

"QUERY_STATISTICS","CUMULATIVE_EXECUTION_TIME","
The total execution time in milliseconds.
"

"QUERY_STATISTICS","AVERAGE_EXECUTION_TIME","
The average execution time in milliseconds.
"

"QUERY_STATISTICS","STD_DEV_EXECUTION_TIME","
The standard deviation of execution time in milliseconds.
"

"QUERY_STATISTICS","MIN_ROW_COUNT","
The minimum number of rows.
"

"QUERY_STATISTICS","MAX_ROW_COUNT","
The maximum number of rows.
"

"QUERY_STATISTICS","CUMULATIVE_ROW_COUNT","
The total number of rows.
"

"QUERY_STATISTICS","AVERAGE_ROW_COUNT","
The average number of rows.
"

"QUERY_STATISTICS","STD_DEV_ROW_COUNT","
The standard deviation of number of rows.
"

"REFERENTIAL_CONSTRAINTS","UNIQUE_CONSTRAINT_CATALOG","
The catalog (database name).
"

"REFERENTIAL_CONSTRAINTS","UNIQUE_CONSTRAINT_SCHEMA","
The schema of referenced unique constraint.
"

"REFERENTIAL_CONSTRAINTS","UNIQUE_CONSTRAINT_NAME","
The name of referenced unique constraint.
"

"REFERENTIAL_CONSTRAINTS","MATCH_OPTION","
'NONE'.
"

"REFERENTIAL_CONSTRAINTS","UPDATE_RULE","
The rule for UPDATE in referenced table ('RESTRICT', 'CASCADE', 'SET DEFAULT', or 'SET NULL').
"

"REFERENTIAL_CONSTRAINTS","DELETE_RULE","
The rule for DELETE in referenced table ('RESTRICT', 'CASCADE', 'SET DEFAULT', or 'SET NULL').
"

"RIGHTS","GRANTEETYPE","
'USER' if grantee is a user, 'ROLE' if grantee is a role.
"

"RIGHTS","GRANTEDROLE","
The name of the granted role for role grants.
"

"RIGHTS","RIGHTS","
The set of rights ('SELECT', 'DELETE', 'INSERT', 'UPDATE', or 'ALTER ANY SCHEMA' separated with ', ') for table grants.
"

"ROLES","ROLE_NAME","
The name of the role.
"

"ROUTINES","ROUTINE_CATALOG","
The catalog (database name).
"

"ROUTINES","ROUTINE_SCHEMA","
The schema of the routine.
"

"ROUTINES","ROUTINE_NAME","
The name of the routine.
"

"ROUTINES","ROUTINE_TYPE","
'PROCEDURE', 'FUNCTION', or 'AGGREGATE'.
"

"ROUTINES","ROUTINE_BODY","
'EXTERNAL'.
"

"ROUTINES","ROUTINE_DEFINITION","
Source code or NULL if not applicable or user doesn't have ADMIN privileges.
"

"ROUTINES","EXTERNAL_NAME","
The name of the class or method.
"

"ROUTINES","EXTERNAL_LANGUAGE","
'JAVA'.
"

"ROUTINES","PARAMETER_STYLE","
'GENERAL'.
"

"ROUTINES","IS_DETERMINISTIC","
Whether routine is deterministic ('YES' or 'NO').
"

"SCHEMATA","CATALOG_NAME","
The catalog (database name).
"

"SCHEMATA","SCHEMA_NAME","
The schema name.
"

"SCHEMATA","SCHEMA_OWNER","
The name of schema owner.
"

"SCHEMATA","DEFAULT_CHARACTER_SET_CATALOG","
The catalog (database name).
"

"SCHEMATA","DEFAULT_CHARACTER_SET_SCHEMA","
The name of public schema.
"

"SCHEMATA","DEFAULT_CHARACTER_SET_NAME","
'Unicode'.
"

"SCHEMATA","SQL_PATH","
NULL.
"

"SCHEMATA","DEFAULT_COLLATION_NAME","
The name of database collation.
"

"SEQUENCES","SEQUENCE_CATALOG","
The catalog (database name).
"

"SEQUENCES","SEQUENCE_SCHEMA","
The schema of the sequence.
"

"SEQUENCES","SEQUENCE_NAME","
The name of the sequence.
"

"SEQUENCES","START_VALUE","
The initial start value.
"

"SEQUENCES","MINIMUM_VALUE","
The minimum value.
"

"SEQUENCES","MAXIMUM_VALUE","
The maximum value.
"

"SEQUENCES","INCREMENT","
The increment value.
"

"SEQUENCES","CYCLE_OPTION","
Whether values are cycled ('YES' or 'NO').
"

"SEQUENCES","BASE_VALUE","
The current base value.
"

"SEQUENCES","CACHE","
The cache size.
"

"SESSIONS","USER_NAME","
The name of the user.
"

"SESSIONS","SERVER","
The name of the server used by remote connection.
"

"SESSIONS","CLIENT_ADDR","
The client address and port used by remote connection.
"

"SESSIONS","CLIENT_INFO","
Additional client information provided by remote connection.
"

"SESSIONS","SESSION_START","
When this session was started.
"

"SESSIONS","ISOLATION_LEVEL","
The isolation level of the session ('READ UNCOMMITTED', 'READ COMMITTED', 'REPEATABLE READ', 'SNAPSHOT',
or 'SERIALIZABLE').
"

"SESSIONS","EXECUTING_STATEMENT","
The currently executing statement, if any.
"

"SESSIONS","EXECUTING_STATEMENT_START","
When the current command was started, if any.
"

"SESSIONS","CONTAINS_UNCOMMITTED","
Whether the session contains any uncommitted changes.
"

"SESSIONS","SESSION_STATE","
The state of the session ('RUNNING', 'SLEEP', etc.)
"

"SESSIONS","BLOCKER_ID","
The identifier or blocking session, if any.
"

"SESSIONS","SLEEP_SINCE","
When the last command was finished if session is sleeping.
"

"SESSION_STATE","STATE_KEY","
The key.
"

"SESSION_STATE","STATE_COMMAND","
The SQL command that can be used to restore the state.
"

"SETTINGS","SETTING_NAME","
The name of the setting.
"

"SETTINGS","SETTING_VALUE","
The value of the setting.
"

"SYNONYMS","SYNONYM_CATALOG","
The catalog (database name).
"

"SYNONYMS","SYNONYM_SCHEMA","
The schema of the synonym.
"

"SYNONYMS","SYNONYM_NAME","
The name of the synonym.
"

"SYNONYMS","SYNONYM_FOR","
The name of the referenced table.
"

"SYNONYMS","SYNONYM_FOR_SCHEMA","
The name of the referenced schema.
"

"SYNONYMS","TYPE_NAME","
'SYNONYM'.
"

"SYNONYMS","STATUS","
'VALID'.
"

"TABLES","TABLE_TYPE","
'BASE TABLE', 'VIEW', 'GLOBAL TEMPORARY', or 'LOCAL TEMPORARY'.
"

"TABLES","IS_INSERTABLE_INTO","
Whether the table is insertable ('YES' or 'NO').
"

"TABLES","COMMIT_ACTION","
'DELETE', 'DROP', or 'PRESERVE' for temporary tables.
"

"TABLES","STORAGE_TYPE","
'CACHED' for regular persisted tables, 'MEMORY' for in-memory tables or persisted tables with in-memory indexes,
'GLOBAL TEMPORARY' or 'LOCAL TEMPORARY' for temporary tables, 'EXTERNAL' for tables with external table engines,
or 'TABLE LINK' for linked tables.
"

"TABLES","LAST_MODIFICATION","
The sequence number of the last modification, if applicable.
"

"TABLES","TABLE_CLASS","
The Java class name of implementation.
"

"TABLES","ROW_COUNT_ESTIMATE","
The approximate number of rows if known or some default value if unknown.
For regular tables contains the total number of rows including the uncommitted rows.
"

"TABLE_CONSTRAINTS","CONSTRAINT_TYPE","
'CHECK', 'PRIMARY KEY', 'UNIQUE', or 'REFERENTIAL'.
"

"TABLE_CONSTRAINTS","IS_DEFERRABLE","
'NO'.
"

"TABLE_CONSTRAINTS","INITIALLY_DEFERRED","
'NO'.
"

"TABLE_CONSTRAINTS","ENFORCED","
'YES' for non-referential constants.
'YES' for referential constants when checks for referential integrity are enabled for the both referenced and
referencing tables and 'NO' when they are disabled.
"

"TABLE_CONSTRAINTS","NULLS_DISTINCT","
'YES' for unique constraints with distinct null values,
'NO' for unique constraints with not distinct null values,
'ALL' for multi-column unique constraints where only rows with null values in all unique columns are distinct,
NULL for other types of constraints.
"

"TABLE_PRIVILEGES","WITH_HIERARCHY","
'NO'.
"

"TRIGGERS","TRIGGER_CATALOG","
The catalog (database name).
"

"TRIGGERS","TRIGGER_SCHEMA","
The schema of the trigger.
"

"TRIGGERS","TRIGGER_NAME","
The name of the trigger.
"

"TRIGGERS","EVENT_MANIPULATION","
'INSERT', 'UPDATE', 'DELETE', or 'SELECT'.
"

"TRIGGERS","EVENT_OBJECT_CATALOG","
The catalog (database name).
"

"TRIGGERS","EVENT_OBJECT_SCHEMA","
The schema of the table.
"

"TRIGGERS","EVENT_OBJECT_TABLE","
The name of the table.
"

"TRIGGERS","ACTION_ORIENTATION","
'ROW' or 'STATEMENT'.
"

"TRIGGERS","ACTION_TIMING","
'BEFORE', 'AFTER', or 'INSTEAD OF'.
"

"TRIGGERS","IS_ROLLBACK","
Whether this trigger is executed on rollback.
"

"TRIGGERS","JAVA_CLASS","
The Java class name.
"

"TRIGGERS","QUEUE_SIZE","
The size of the queue (is not actually used).
"

"TRIGGERS","NO_WAIT","
Whether trigger is defined with NO WAIT clause (is not actually used).
"

"USERS","USER_NAME","
The name of the user.
"

"USERS","IS_ADMIN","
Whether user has ADMIN privileges.
"

"VIEWS","VIEW_DEFINITION","
The query SQL, if applicable.
"

"VIEWS","CHECK_OPTION","
'NONE'.
"

"VIEWS","IS_UPDATABLE","
'NO'.
"

"VIEWS","INSERTABLE_INTO","
'NO'.
"

"VIEWS","IS_TRIGGER_UPDATABLE","
Whether the view has INSTEAD OF trigger for UPDATE ('YES' or 'NO').
"

"VIEWS","IS_TRIGGER_DELETABLE","
Whether the view has INSTEAD OF trigger for DELETE ('YES' or 'NO').
"

"VIEWS","IS_TRIGGER_INSERTABLE_INTO","
Whether the view has INSTEAD OF trigger for INSERT ('YES' or 'NO').
"

"VIEWS","STATUS","
'VALID' or 'INVALID'.
"
